id_pago,id_cuenta,id_trabajador,monto,tipo
1,1,29,490224,Junction
2,5,26,238666,Crossing
3,4,1,506379,Alley
4,5,8,,Center
5,5,29,158091,Drive
6,3,40,675479,Junction
7,2,28,558575,
8,5,27,88836,Circle
9,5,17,,Trail
10,4,1,1063357,Court
11,4,8,869434,Way
12,3,30,175294,
13,2,38,,Crossing
14,1,22,813934,Drive
15,1,21,978974,Lane
16,4,11,692924,Place
17,4,5,545676,Parkway
18,4,13,192194,Parkway
19,1,24,179743,Park
20,1,23,,Crossing
21,4,12,759717,Crossing
22,4,20,871909,Center
23,3,10,963807,Street
24,1,39,903927,Point
25,2,30,944958,Point
26,3,27,292738,Pass
27,4,4,,
28,4,5,302171,Terrace
29,5,14,449175,Road
30,5,33,377551,Center
31,5,4,530376,Crossing
32,1,30,674749,Circle
33,3,20,1035849,Street
34,5,26,868403,Hill
35,1,28,882799,Place
36,5,35,584762,Terrace
37,4,18,,Junction
38,4,18,,Lane
39,1,26,179699,
40,5,14,695773,Street
41,4,29,203558,Hill
42,4,1,,Terrace
43,5,34,415388,Court
44,2,11,144831,Way
45,5,7,983680,Way
46,4,27,798163,
47,4,12,398561,Pass
48,4,9,811589,Trail
49,4,33,363850,Court
50,3,40,514349,Place
51,1,40,505112,Alley
52,1,19,,Center
53,3,32,233016,Alley
54,1,36,1015428,Crossing
55,2,8,854976,Circle
56,2,35,693716,Road
57,4,5,204338,Alley
58,4,27,927838,Crossing
59,2,1,356237,Center
60,4,7,,Plaza
61,4,38,1122155,Road
62,4,1,193612,Trail
63,5,24,673601,Pass
64,5,38,523171,Trail
65,5,15,,Junction
66,4,21,361909,Plaza
67,2,15,,Plaza
68,4,34,1088669,Way
69,5,2,,Hill
70,2,24,792367,Avenue
71,1,20,,
72,2,10,,Pass
73,5,35,129499,Plaza
74,5,38,619013,Junction
75,2,35,931931,Trail
76,4,23,364474,Trail
77,5,25,580874,Crossing
78,3,11,,Point
79,4,6,858010,Terrace
80,2,13,848534,Park
81,5,1,406806,Trail
82,5,20,381557,Crossing
83,5,12,463401,Park
84,2,17,619400,Street
85,1,32,208465,
86,3,39,236297,Plaza
87,2,40,433516,Avenue
88,3,5,1148647,Circle
89,4,9,,Point
90,5,38,1017955,Road
91,3,4,572492,Drive
92,4,5,653791,Parkway
93,5,39,868774,Lane
94,4,40,851287,Trail
95,3,20,208326,
96,1,32,716385,Circle
97,4,32,271879,Junction
98,4,15,926465,
99,1,7,896956,Parkway
100,4,18,1212687,Drive
101,4,25,689978,
102,5,20,807298,Trail
103,1,30,,Center
104,2,30,868040,Court
105,2,18,711784,Avenue
106,4,24,1126869,Center
107,5,1,1106993,
108,3,35,,Alley
109,1,28,596660,Terrace
110,3,39,765535,Pass
111,2,3,1002879,Drive
112,1,30,569156,Way
113,2,4,479432,Park
114,3,21,,Hill
115,1,12,645788,Park
116,2,32,1188000,Hill
117,4,7,1165765,Pass
118,5,36,838099,Street
119,1,6,722834,Terrace
120,2,13,396383,Pass
121,3,39,164756,Circle
122,2,15,1224464,Plaza
123,1,21,568162,Place
124,3,9,103131,Court
125,5,38,,Drive
126,3,7,146095,Pass
127,1,10,,Crossing
128,3,19,862026,Street
129,4,27,,Lane
130,1,5,712609,Drive
131,1,5,409519,Junction
132,4,6,745340,Terrace
133,3,12,256783,Hill
134,1,21,68995,Pass
135,3,34,628837,Lane
136,3,20,812996,Avenue
137,5,24,456377,Crossing
138,4,17,800153,
139,4,37,326693,Point
140,3,19,,Point
141,3,22,554862,Plaza
142,3,1,896829,Junction
143,1,30,729084,Pass
144,1,23,275766,Avenue
145,4,14,847898,Street
146,4,29,814102,Lane
147,5,12,948443,Drive
148,4,16,135022,Park
149,3,24,279152,Center
150,2,9,750384,Drive
